Sample 4,,Sample 5,,Sample 6,,Sample 7,,Sample 8,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
497.9100037,0.2402737737,497.9100037,0.1917447299,497.9100037,0.1349473596,497.9100037,0.08588700742,497.9100037,0.05446833372,
498.9500122,0.2925064862,498.9500122,0.2152017951,498.9500122,0.1886044294,498.9500122,0.1481483728,498.9500122,0.06623759866,
499.8500061,0.2977675796,499.8500061,0.2577151656,499.8500061,0.1887871027,499.8500061,0.1751399189,499.8500061,0.06540734321,
500.8900146,0.3786213696,500.8900146,0.3027256727,500.8900146,0.2222883999,500.8900146,0.1620062292,500.8900146,0.0832355395,
501.9400024,0.4269438386,501.9400024,0.3795783818,501.9400024,0.2763551176,501.9400024,0.2102570981,501.9400024,0.08697350323,
502.8299866,0.5148842335,502.8299866,0.40643695,502.8299866,0.3101838827,502.8299866,0.2457828522,502.8299866,0.1038743407,
503.8800049,0.5812837481,503.8800049,0.5004509091,503.8800049,0.3656800985,503.8800049,0.314704448,503.8800049,0.1223205552,
504.9200134,0.7073930502,504.9200134,0.5736130476,504.9200134,0.4380095899,504.9200134,0.3509785235,504.9200134,0.1520700455,
505.9700012,0.8580002785,505.9700012,0.7161569595,505.9700012,0.5574905872,505.9700012,0.4084899724,505.9700012,0.1916636527,
506.8599854,0.9841929674,506.8599854,0.8241264224,506.8599854,0.6583394408,506.8599854,0.4523609579,506.8599854,0.218467772,
507.9100037,1.260175705,507.9100037,1.004256725,507.9100037,0.7782438397,507.9100037,0.5543587804,507.9100037,0.2670942843,
508.9500122,1.488985658,508.9500122,1.192753196,508.9500122,0.9688728452,508.9500122,0.7199884057,508.9500122,0.3435697258,
509.8500061,1.740389943,509.8500061,1.402599812,509.8500061,1.107213616,509.8500061,0.8394924402,509.8500061,0.4142136872,
510.8800049,2.118505716,510.8800049,1.659158707,510.8800049,1.357626319,510.8800049,1.022424221,510.8800049,0.499122262,
511.9100037,2.554584742,511.9100037,2.095112085,511.9100037,1.682090998,511.9100037,1.242977381,511.9100037,0.5992540121,
512.9400024,3.191090107,512.9400024,2.581201553,512.9400024,2.046806335,512.9400024,1.51584971,512.9400024,0.7696913481,
513.9699707,3.841330051,513.9699707,3.10230279,513.9699707,2.462447643,513.9699707,1.85574007,513.9699707,0.9226449132,
514.8499756,4.610852718,514.8499756,3.786309958,514.8499756,2.994245291,514.8499756,2.27479744,514.8499756,1.122475982,
515.8800049,5.516841888,515.8800049,4.510890961,515.8800049,3.631764889,515.8800049,2.699568033,515.8800049,1.389492273,
516.9099731,6.624332905,516.9099731,5.511133194,516.9099731,4.381344318,516.9099731,3.319883823,516.9099731,1.645134568,
517.9400024,7.904593468,517.9400024,6.582678318,517.9400024,5.181987762,517.9400024,3.95096755,517.9400024,1.984964252,
518.9699707,9.370977402,518.9699707,7.824756622,518.9699707,6.233821869,518.9699707,4.797191143,518.9699707,2.422368288,
519.8499756,11.17890358,519.8499756,9.38910675,519.8499756,7.46210146,519.8499756,5.715123177,519.8499756,2.848360062,
520.8900146,13.18759727,520.8900146,11.19222641,520.8900146,8.949001312,520.8900146,6.842089176,520.8900146,3.506627321,
521.9400024,16.01972198,521.9400024,13.51744556,521.9400024,10.86383152,521.9400024,8.32113266,521.9400024,4.239133835,
522.8300171,18.09943008,522.8300171,15.32062912,522.8300171,12.33015919,522.8300171,9.516503334,522.8300171,4.866979599,
523.8800049,21.26292992,523.8800049,17.98992348,523.8800049,14.62776566,523.8800049,11.20822811,523.8800049,5.752102852,
524.9199829,25.06021881,524.9199829,21.35741234,524.9199829,17.27322388,524.9199829,13.27912807,524.9199829,6.801628113,
525.9699707,29.3334713,525.9699707,25.00121498,525.9699707,20.13062477,525.9699707,15.61957264,525.9699707,8.173723221,
526.8599854,33.8833046,526.8599854,28.9126873,526.8599854,23.6186657,526.8599854,18.14418793,526.8599854,9.303180695,
527.9099731,39.23927307,527.9099731,33.53117752,527.9099731,27.33020782,527.9099731,21.01259613,527.9099731,10.8763752,
528.9500122,45.59773636,528.9500122,39.23060608,528.9500122,31.8059864,528.9500122,24.56947899,528.9500122,12.60709858,
529.8499756,51.14499283,529.8499756,43.95176697,529.8499756,35.65314484,529.8499756,27.34610367,529.8499756,14.32333469,
530.8800049,58.69234848,530.8800049,50.08932114,530.8800049,40.53726196,530.8800049,31.47726059,530.8800049,16.18895149,
531.9099731,67.66094971,531.9099731,57.69564056,531.9099731,46.67938232,531.9099731,35.97281265,531.9099731,18.74030113,
532.9400024,76.92671967,532.9400024,65.75836182,532.9400024,52.96271133,532.9400024,40.78178406,532.9400024,21.21837425,
533.9699707,87.8322525,533.9699707,74.9921875,533.9699707,60.38215637,533.9699707,46.48660278,533.9699707,24.13527298,
534.8499756,97.55175018,534.8499756,83.4337616,534.8499756,66.80551147,534.8499756,51.36914444,534.8499756,26.36472511,
535.8800049,109.6708145,535.8800049,93.54310608,535.8800049,74.62757111,535.8800049,56.84093094,535.8800049,29.30835342,
536.9099731,121.5923386,536.9099731,103.1637955,536.9099731,82.03919983,536.9099731,62.71644592,536.9099731,32.21375656,
537.9400024,134.7376556,537.9400024,114.1493835,537.9400024,90.23124695,537.9400024,68.90228271,537.9400024,35.19198227,
538.9699707,149.2769623,538.9699707,125.8029861,538.9699707,99.02082825,538.9699707,75.19782257,538.9699707,38.29726791,
539.8499756,162.4349976,539.8499756,136.0377197,539.8499756,106.549881,539.8499756,80.72541046,539.8499756,40.93910217,
540.8800049,177.2292938,540.8800049,148.2576752,540.8800049,115.5126572,540.8800049,87.41165161,540.8800049,44.0908432,
541.9099731,190.3941956,541.9099731,158.2398529,541.9099731,122.6584854,541.9099731,92.54789734,541.9099731,46.54140472,
542.9400024,203.0528259,542.9400024,168.8932495,542.9400024,130.1424255,542.9400024,97.94686127,542.9400024,48.685215,
543.9699707,215.9072723,543.9699707,178.6116028,543.9699707,137.0249481,543.9699707,102.7885437,543.9699707,51.10122299,
544.8499756,225.6307373,544.8499756,186.5090942,544.8499756,142.4369659,544.8499756,106.4880905,544.8499756,52.78028107,
545.8800049,237.3221283,545.8800049,194.8064575,545.8800049,147.914566,545.8800049,110.775444,545.8800049,54.79956055,
546.9099731,246.0995178,546.9099731,202.1169739,546.9099731,152.9004364,546.9099731,113.3177109,546.9099731,55.92666626,
547.9400024,253.9778595,547.9400024,207.8456879,547.9400024,156.497345,547.9400024,116.1805344,547.9400024,57.16755295,
548.9699707,259.5249634,548.9699707,212.1593475,548.9699707,159.463913,548.9699707,117.998291,548.9699707,57.83359909,
549.8499756,263.3447266,549.8499756,214.356308,549.8499756,160.8514557,549.8499756,118.6396637,549.8499756,58.01612091,
550.8800049,266.6654968,550.8800049,216.2133789,550.8800049,161.5755768,550.8800049,118.9227524,550.8800049,58.02019119,
551.9099731,267.6356812,551.9099731,216.9594879,551.9099731,161.9489288,551.9099731,119.2693863,551.9099731,57.87773514,
552.9400024,267.8820801,552.9400024,216.6025085,552.9400024,161.0101013,552.9400024,118.2965927,552.9400024,57.50283432,
553.9699707,265.9213257,553.9699707,215.1601105,553.9699707,159.0609283,553.9699707,116.9075623,553.9699707,56.52968979,
554.8499756,262.5385437,554.8499756,212.8826141,554.8499756,157.3092041,554.8499756,115.4611816,554.8499756,55.89048004,
555.8800049,259.6238708,555.8800049,209.0933075,555.8800049,154.5173187,555.8800049,113.3380508,555.8800049,55.02875519,
556.9099731,255.7155457,556.9099731,205.0049744,556.9099731,151.583374,556.9099731,111.0456238,556.9099731,53.4593277,
557.9400024,249.569519,557.9400024,199.546936,557.9400024,147.8940277,557.9400024,107.9776535,557.9400024,51.87236023,
558.9699707,243.4040985,558.9699707,194.6866913,558.9699707,143.2363739,558.9699707,105.1599121,558.9699707,50.59431076,
559.8499756,236.3417206,559.8499756,188.9644623,559.8499756,139.4455719,559.8499756,102.0150757,559.8499756,49.04016495,
560.8800049,229.3139343,560.8800049,184.2660675,560.8800049,135.1638947,560.8800049,98.59724426,560.8800049,47.36677933,
561.9099731,221.1941223,561.9099731,177.2672424,561.9099731,129.9278564,561.9099731,95.1977005,561.9099731,45.60172653,
562.9400024,212.7555542,562.9400024,170.8854065,562.9400024,125.1595535,562.9400024,91.57217407,562.9400024,44.01494217,
563.9699707,204.694046,563.9699707,164.2292328,563.9699707,120.0600052,563.9699707,87.73458099,563.9699707,42.32645035,
564.8499756,198.2356873,564.8499756,158.7077637,564.8499756,116.3618851,564.8499756,84.66442108,564.8499756,40.75022507,
565.8800049,189.8450928,565.8800049,152.4634552,565.8800049,111.4601669,565.8800049,81.03683472,565.8800049,38.96072388,
566.9099731,181.599411,566.9099731,145.2779541,566.9099731,106.7011871,566.9099731,77.54814911,566.9099731,37.23026276,
567.9400024,173.469223,567.9400024,138.2504883,567.9400024,101.6118622,567.9400024,74.04833221,567.9400024,35.45949554,
568.9699707,165.21875,568.9699707,131.504303,568.9699707,96.89896393,568.9699707,70.48052216,568.9699707,33.8527298,
569.8499756,159.4399414,569.8499756,127.2163925,569.8499756,93.4253006,569.8499756,68.22724915,569.8499756,32.66389084,
570.8800049,152.624588,570.8800049,121.5664444,570.8800049,89.47188568,570.8800049,65.19769287,570.8800049,31.30997658,
571.9099731,145.1464996,571.9099731,115.4140244,571.9099731,85.26153564,571.9099731,61.84695816,571.9099731,29.61376953,
572.9400024,138.6321716,572.9400024,110.2721405,572.9400024,81.098526,572.9400024,59.05049133,572.9400024,28.31019974,
573.9699707,132.1224365,573.9699707,104.9561234,573.9699707,77.43022156,573.9699707,56.16767883,573.9699707,26.98740768,
574.8499756,127.4717331,574.8499756,101.3704376,574.8499756,74.311409,574.8499756,54.17679977,574.8499756,26.01730537,
575.8800049,122.0024109,575.8800049,96.68350983,575.8800049,71.10114288,575.8800049,51.89351273,575.8800049,25.00471687,
576.9099731,116.5934067,576.9099731,92.2884903,576.9099731,67.91303253,576.9099731,49.42681503,576.9099731,23.73285866,
577.9400024,111.6199112,577.9400024,88.65507507,577.9400024,64.94241333,577.9400024,47.3719101,577.9400024,22.80579376,
578.9699707,107.1188126,578.9699707,84.75431824,578.9699707,62.12394333,578.9699707,45.49568558,578.9699707,21.7423954,
579.8499756,102.8759003,579.8499756,81.76718903,579.8499756,60.28516006,579.8499756,43.88961792,579.8499756,21.12809372,
580.8599854,98.93280792,580.8599854,78.04767609,580.8599854,57.80123138,580.8599854,41.94634247,580.8599854,20.10653305,
581.8800049,95.1058197,581.8800049,75.06898499,581.8800049,55.55640411,581.8800049,40.39550781,581.8800049,19.44869614,
582.8900146,91.56834412,582.8900146,72.67144012,582.8900146,53.45925903,582.8900146,39.02893066,582.8900146,18.68930054,
583.9099731,88.28339386,583.9099731,70.25566864,583.9099731,51.74812698,583.9099731,37.75163269,583.9099731,18.1863575,
584.9199829,85.67243958,584.9199829,68.02346802,584.9199829,50.05608368,584.9199829,36.40610504,584.9199829,17.53064537,
585.9400024,82.53761292,585.9400024,65.460495,585.9400024,48.2518692,585.9400024,35.18338394,585.9400024,16.90562057,
586.9500122,79.6940155,586.9500122,63.47936249,586.9500122,46.83965302,586.9500122,34.16201401,586.9500122,16.31241798,
587.9699707,77.12553406,587.9699707,61.46116638,587.9699707,45.29991531,587.9699707,32.87235641,587.9699707,15.7436285,
588.8400269,75.34588623,588.8400269,59.95513153,588.8400269,44.01642609,588.8400269,32.19946671,588.8400269,15.46621323,
589.8499756,72.99570465,589.8499756,58.24759293,589.8499756,42.73309326,589.8499756,31.31430817,589.8499756,14.92435551,
590.8800049,70.77539825,590.8800049,56.38877106,590.8800049,41.53109741,590.8800049,30.27283287,590.8800049,14.43760395,
591.9099731,68.74198151,591.9099731,54.81190872,591.9099731,40.31318283,591.9099731,29.3896904,591.9099731,14.01251221,
592.9400024,66.76571655,592.9400024,53.06008148,592.9400024,39.17598724,592.9400024,28.60779381,592.9400024,13.74556541,
593.9699707,64.98042297,593.9699707,51.75154877,593.9699707,38.15263367,593.9699707,27.88558197,593.9699707,13.33441162,
594.8499756,63.06835175,594.8499756,50.24808502,594.8499756,37.04194641,594.8499756,27.05476761,594.8499756,12.89371967,
595.8800049,61.5672493,595.8800049,48.85781097,595.8800049,35.95759964,595.8800049,26.16507912,595.8800049,12.60242844,
596.9099731,59.48035049,596.9099731,47.25716782,596.9099731,34.88801193,596.9099731,25.43922615,596.9099731,12.22175694,
597.9400024,57.81849289,597.9400024,46.02722168,597.9400024,33.97817612,597.9400024,24.58972359,597.9400024,11.82088757,
598.9699707,56.22957611,598.9699707,44.72552109,598.9699707,32.83831787,598.9699707,24.04647255,598.9699707,11.54143333,
599.8499756,54.32571411,599.8499756,43.40028381,599.8499756,31.88085365,599.8499756,23.20288086,599.8499756,11.1554966,
600.8599854,52.61993027,600.8599854,41.99628448,600.8599854,30.93654442,600.8599854,22.45420837,600.8599854,10.82488537,
601.8800049,50.98242569,601.8800049,40.50597382,601.8800049,29.74872208,601.8800049,21.67996979,601.8800049,10.40890217,
602.8900146,49.41516495,602.8900146,39.20854187,602.8900146,28.72038269,602.8900146,21.02073669,602.8900146,10.08275414,
603.9099731,47.6105957,603.9099731,37.75410843,603.9099731,27.94128227,603.9099731,20.39660263,603.9099731,9.751289368,
604.9199829,45.88253021,604.9199829,36.53492737,604.9199829,26.86207581,604.9199829,19.47501945,604.9199829,9.451321602,
605.9400024,44.28578949,605.9400024,35.2112999,605.9400024,25.77946854,605.9400024,18.83191299,605.9400024,9.066422462,
606.9500122,42.52843094,606.9500122,33.77160263,606.9500122,24.81213379,606.9500122,18.23719215,606.9500122,8.689356804,
607.9699707,40.92253113,607.9699707,32.51007843,607.9699707,23.94408989,607.9699707,17.43325043,607.9699707,8.333494186,
608.8400269,39.3456192,608.8400269,31.46352577,608.8400269,22.96619606,608.8400269,16.81122208,608.8400269,8.070866585,
609.8499756,37.71701431,609.8499756,30.09611511,609.8499756,22.13367081,609.8499756,15.98950195,609.8499756,7.751572609,
610.8599854,36.21374512,610.8599854,28.97674561,610.8599854,21.20583916,610.8599854,15.45728779,610.8599854,7.467048645,
611.8800049,34.8102417,611.8800049,27.82309723,611.8800049,20.38805199,611.8800049,14.73332119,611.8800049,7.150564671,
612.8900146,33.48480225,612.8900146,26.63515282,612.8900146,19.52933502,612.8900146,14.17944145,612.8900146,6.830747128,
613.9099731,31.86209297,613.9099731,25.36964226,613.9099731,18.70560074,613.9099731,13.64284039,613.9099731,6.583011627,
614.9199829,30.44029236,614.9199829,24.25470924,614.9199829,17.87788391,614.9199829,12.91596317,614.9199829,6.208189487,
615.9400024,29.14731979,615.9400024,23.06964493,615.9400024,16.97076988,615.9400024,12.2937212,615.9400024,5.926158905,
616.9500122,27.72348976,616.9500122,22.26143265,616.9500122,16.24284172,616.9500122,11.80955887,616.9500122,5.65749979,
617.9699707,26.71116447,617.9699707,21.03297043,617.9699707,15.50141621,617.9699707,11.27776146,617.9699707,5.430651188,
618.8400269,25.55486488,618.8400269,20.36606407,618.8400269,15.0035305,618.8400269,10.89208698,618.8400269,5.212090492,
619.8499756,24.44753075,619.8499756,19.30124092,619.8499756,14.27566433,619.8499756,10.40992355,619.8499756,5.044962406,
620.8499756,23.39890862,620.8499756,18.43139076,620.8499756,13.62510967,620.8499756,9.905851364,620.8499756,4.746312618,
621.8499756,22.17492867,621.8499756,17.59447098,621.8499756,13.00988102,621.8499756,9.475972176,621.8499756,4.552964687,
622.8499756,21.20757103,622.8499756,16.84800529,622.8499756,12.32876301,622.8499756,9.024205208,622.8499756,4.297616959,
623.8499756,20.13725662,623.8499756,16.01519775,623.8499756,11.72365665,623.8499756,8.51285553,623.8499756,4.087417126,
624.8499756,19.02212334,624.8499756,15.13527489,624.8499756,11.13375854,624.8499756,8.135083199,624.8499756,3.885293245,
625.8499756,18.20141602,625.8499756,14.51145458,625.8499756,10.78286839,625.8499756,7.800104618,625.8499756,3.694057465,
626.8499756,17.48277092,626.8499756,13.89077282,626.8499756,10.2002039,626.8499756,7.458863735,626.8499756,3.509260654,
627.8499756,16.59124756,627.8499756,13.30169678,627.8499756,9.696702003,627.8499756,7.120750427,627.8499756,3.384349108,
628.8499756,15.78278542,628.8499756,12.60620975,628.8499756,9.252752304,628.8499756,6.734055519,628.8499756,3.228526115,
629.8499756,15.06868458,629.8499756,12.00359344,629.8499756,8.794315338,629.8499756,6.424487114,629.8499756,3.051125288,
630.8599854,14.36609745,630.8599854,11.4965086,630.8599854,8.408800125,630.8599854,6.10038662,630.8599854,2.927482367,
631.8800049,13.5918293,631.8800049,10.93756771,631.8800049,8.024144173,631.8800049,5.724987984,631.8800049,2.766517878,
