Sample 11,,Sample 12,,Sample 13,,Sample 14,,Sample 15,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
500,0.1613164842,500,0.1868705601,500,0.1240795851,500,0.1274591237,500,0.05124567822,
501.0400085,0.1375435591,501.0400085,0.1400446594,501.0400085,0.05736407638,501.0400085,0.08143866807,501.0400085,0.05451309681,
501.9400024,0.1644497365,501.9400024,0.1751231104,501.9400024,0.1203559339,501.9400024,0.1125031859,501.9400024,0.06516256183,
502.980011,0.1828878671,502.980011,0.1304920465,502.980011,0.1412187666,502.980011,0.1300291717,502.980011,0.006698564626,
504.019989,0.2148939371,504.019989,0.1335534304,504.019989,0.08677981794,504.019989,0.1276577264,504.019989,0.05933088064,
505.0700073,0.1465419978,505.0700073,0.20589827,505.0700073,0.131991446,505.0700073,0.09432396293,505.0700073,0.1098626181,
505.9700012,0.2290711701,505.9700012,0.2021806389,505.9700012,0.1988898516,505.9700012,0.1206023246,505.9700012,0.09871870279,
507.0100098,0.2516040206,507.0100098,0.2204904109,507.0100098,0.1612804383,507.0100098,0.1899711192,507.0100098,0.1097695157,
508.0499878,0.3269352317,508.0499878,0.2226499319,508.0499878,0.1706230342,508.0499878,0.1259826869,508.0499878,0.1739325672,
508.9500122,0.2644068599,508.9500122,0.229938969,508.9500122,0.2203321159,508.9500122,0.1694279909,508.9500122,0.06167999655,
510,0.3157081306,510,0.2851308286,510,0.1915849447,510,0.2019801587,510,0.154366374,
511.019989,0.3854879439,511.019989,0.2947333157,511.019989,0.2375838459,511.019989,0.2180462927,511.019989,0.09988383204,
512.0499878,0.3272999525,512.0499878,0.3446295261,512.0499878,0.2878414989,512.0499878,0.1794343144,512.0499878,0.1251408756,
512.9400024,0.3999417126,512.9400024,0.336270839,512.9400024,0.2691240311,512.9400024,0.1902265847,512.9400024,0.07518426329,
513.9699707,0.3638259172,513.9699707,0.3782929778,513.9699707,0.2270974219,513.9699707,0.261642009,513.9699707,0.1678007096,
515,0.5122113824,515,0.4047490358,515,0.4086351991,515,0.2906793654,515,0.1933840811,
516.0200195,0.5091463327,516.0200195,0.449365437,516.0200195,0.4223871529,516.0200195,0.3475245237,516.0200195,0.1691747904,
517.0499878,0.550870955,517.0499878,0.4995100796,517.0499878,0.4155668616,517.0499878,0.2884385586,517.0499878,0.2106701136,
517.9400024,0.5685175657,517.9400024,0.470361799,517.9400024,0.4241117537,517.9400024,0.3154762983,517.9400024,0.1756427437,
518.9699707,0.568316102,518.9699707,0.5471107364,518.9699707,0.4884943366,518.9699707,0.4065421522,518.9699707,0.1719604284,
520,0.6807463169,520,0.5950787067,520,0.4676167667,520,0.3425991237,520,0.2678813636,
521.039978,0.6698672175,521.039978,0.5897859931,521.039978,0.5184041262,521.039978,0.4440623522,521.039978,0.2607570291,
521.9400024,0.7410051823,521.9400024,0.7154452205,521.9400024,0.5906647444,521.9400024,0.4527519643,521.9400024,0.2579553127,
522.9799805,0.7969984412,522.9799805,0.7559319735,522.9799805,0.6601826549,522.9799805,0.5205898881,522.9799805,0.3611396849,
524.0200195,0.8447314501,524.0200195,0.7041431665,524.0200195,0.6951038241,524.0200195,0.4913125634,524.0200195,0.2366677076,
525.0700073,0.9290344715,525.0700073,0.8050803542,525.0700073,0.7817317843,525.0700073,0.5884397626,525.0700073,0.402941376,
525.9699707,0.9539881945,525.9699707,0.9250448346,525.9699707,0.8427098393,525.9699707,0.7044119835,525.9699707,0.3555846512,
527.0100098,1.081134558,527.0100098,1.034631014,527.0100098,0.9668287039,527.0100098,0.7041192651,527.0100098,0.4094573855,
528.0499878,1.182900071,528.0499878,1.138629913,528.0499878,1.008388162,528.0499878,0.7936896086,528.0499878,0.5104373097,
528.9500122,1.281167984,528.9500122,1.257089019,528.9500122,1.04349792,528.9500122,0.8812944293,528.9500122,0.5459444523,
530,1.364836335,530,1.281424046,530,1.268986106,530,0.941588521,530,0.5271191001,
531.0200195,1.694813967,531.0200195,1.583345652,531.0200195,1.32463944,531.0200195,1.137863755,531.0200195,0.6528736949,
532.0499878,1.883219361,532.0499878,1.765717864,532.0499878,1.52011621,532.0499878,1.283005118,532.0499878,0.8044196367,
532.9400024,1.995233297,532.9400024,1.926226616,532.9400024,1.733507156,532.9400024,1.379302263,532.9400024,0.8440993428,
533.9699707,2.426473141,533.9699707,2.29847765,533.9699707,2.127545118,533.9699707,1.578901291,533.9699707,1.005966067,
535,2.68993187,535,2.506651878,535,2.438601017,535,1.872093081,535,1.257562995,
