Sample 17,,Sample 18,,Sample 19,,Sample 20,,Sample 21,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
584.9199829,5.145437717,584.9199829,4.249600887,584.9199829,3.493572712,584.9199829,2.413293123,584.9199829,1.297415137,
585.9400024,5.834058285,585.9400024,4.650166988,585.9400024,3.784667253,585.9400024,2.7347579,585.9400024,1.564929485,
586.9500122,6.802890778,586.9500122,5.347705364,586.9500122,4.332629681,586.9500122,3.08083868,586.9500122,1.612844586,
587.9699707,7.759035587,587.9699707,6.288214684,587.9699707,5.052036285,587.9699707,3.614340067,587.9699707,1.943523884,
588.8400269,8.484920502,588.8400269,6.888140202,588.8400269,5.590184689,588.8400269,3.975435734,588.8400269,2.102085829,
589.8499756,9.750360489,589.8499756,8.091582298,589.8499756,6.441672325,589.8499756,4.30895853,589.8499756,2.361885786,
590.8800049,10.96999741,590.8800049,9.055411339,590.8800049,7.332708836,590.8800049,4.987156868,590.8800049,2.711060524,
591.9099731,12.50325966,591.9099731,10.22150135,591.9099731,8.298586845,591.9099731,5.920128822,591.9099731,3.162811756,
592.9400024,14.43160343,592.9400024,11.50824642,592.9400024,9.325470924,592.9400024,6.659020424,592.9400024,3.488031387,
593.9699707,16.22561073,593.9699707,13.060956,593.9699707,10.49381447,593.9699707,7.503567696,593.9699707,3.917149305,
594.8499756,18.37984848,594.8499756,14.45689487,594.8499756,12.00780964,594.8499756,8.350487709,594.8499756,4.467917442,
595.8800049,20.88017082,595.8800049,16.83108521,595.8800049,13.38207054,595.8800049,9.388237,595.8800049,5.045964241,
596.9099731,23.1550827,596.9099731,18.89211273,596.9099731,15.31944847,596.9099731,10.58806801,596.9099731,5.681218624,
597.9400024,25.81573105,597.9400024,21.06520271,597.9400024,16.88781738,597.9400024,11.91622639,597.9400024,6.349524975,
598.9699707,29.00742912,598.9699707,23.21836853,598.9699707,18.6736908,598.9699707,13.38533211,598.9699707,6.890025139,
599.8499756,32.05377197,599.8499756,25.9083786,599.8499756,21.14902687,599.8499756,14.54514313,599.8499756,7.659510612,
600.8599854,36.46386719,600.8599854,29.37246323,600.8599854,23.70419312,600.8599854,16.60468102,600.8599854,8.620323181,
601.8800049,40.61584091,601.8800049,32.63375473,601.8800049,26.32789803,601.8800049,18.34485245,601.8800049,9.700469017,
602.8900146,44.95626068,602.8900146,35.55539703,602.8900146,28.98929405,602.8900146,20.60466003,602.8900146,10.63108921,
603.9099731,49.04722214,603.9099731,39.72634888,603.9099731,31.94202805,603.9099731,22.67909431,603.9099731,11.56074619,
604.9199829,54.57888412,604.9199829,43.53050613,604.9199829,35.30324173,604.9199829,24.77126694,604.9199829,12.96978474,
605.9400024,60.11016846,605.9400024,48.10836792,605.9400024,39.02610779,605.9400024,27.39156151,605.9400024,14.31517029,
606.9500122,66.27770233,606.9500122,53.26534653,606.9500122,42.40852356,606.9500122,30.16972733,606.9500122,15.611063,
607.9699707,71.85651398,607.9699707,57.18491364,607.9699707,46.2402153,607.9699707,32.48271179,607.9699707,17.42431831,
