sample21,,sample22,,sample24,,sample26,,sample27,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
700.003418,0.002403654158,700.003418,-0.001141725807,700.003418,0.005036551505,700.003418,-0.0008988137706,700.003418,-0.001456849277,
698.9962158,0.002407949185,698.9962158,-0.001146373106,698.9962158,0.004487293307,698.9962158,-0.000754644745,698.9962158,-0.001338259666,
697.9887085,0.002084700158,697.9887085,-0.001171002514,697.9887085,0.002871398116,697.9887085,-0.00100982748,697.9887085,-0.001371135702,
697.0168457,0.002316853963,697.0168457,-0.001103668474,697.0168457,0.001425599563,697.0168457,-0.001051198458,697.0168457,-0.001688104123,
696.008728,0.002529577818,696.008728,-0.001254071249,696.008728,-0.000233842642,696.008728,-0.0008285954827,696.008728,-0.001080842689,
695.0001831,0.001941977767,695.0001831,-0.001256084535,695.0001831,-0.0009170511039,695.0001831,-0.0008240998723,695.0001831,-0.001514584292,
693.991394,0.002036505146,693.991394,-0.001540946891,693.991394,-0.00163704576,693.991394,-0.0009490808006,693.991394,-0.001540327794,
692.9821777,0.00228890474,692.9821777,-0.00112618308,692.9821777,-0.001533724368,692.9821777,-0.001035704161,692.9821777,-0.001519537065,
692.0087891,0.002298689447,692.0087891,-0.001165271271,692.0087891,-0.00138331519,692.0087891,-0.0003996507148,692.0087891,-0.0009280550876,
690.9989624,0.002091332804,690.9989624,-0.001326027326,690.9989624,-0.001762463246,690.9989624,-0.001337124151,690.9989624,-0.001775044249,
689.9888916,0.002652751049,689.9888916,-0.0003816502867,689.9888916,-0.0005981749855,689.9888916,-0.0006995481672,689.9888916,-0.000951922033,
689.0145264,0.002158160089,689.0145264,-0.001439511892,689.0145264,-0.001258562435,689.0145264,-0.0007858079043,689.0145264,-0.001469335984,
688.0037842,0.002778460504,688.0037842,-0.001055795001,688.0037842,-0.001604654011,688.0037842,-0.000493985659,688.0037842,-0.001631526859,
686.9926147,0.002455352107,686.9926147,-0.001468923176,686.9926147,-0.001049287501,686.9926147,-0.0008324709488,686.9926147,-0.001485227607,
686.017334,0.002505702432,686.017334,-0.001235435135,686.017334,-0.0007742317975,686.017334,-0.0005875762436,686.017334,-0.001344143413,
685.0056763,0.002090656431,685.0056763,-0.001237448421,685.0056763,-0.00173111225,685.0056763,-0.0009126597433,685.0056763,-0.001297535375,
683.9935913,0.002243991708,683.9935913,-0.0008934922516,683.9935913,-0.001264653751,683.9935913,-0.000937095785,683.9935913,-0.001434558188,
683.017395,0.003176667029,683.017395,-0.0005291490816,683.017395,-0.000754231296,683.017395,-0.000702856225,683.017395,-0.0007988306461,
682.0046997,0.002581733279,682.0046997,-0.0007539729122,682.0046997,-0.001139712054,682.0046997,-0.0007375893183,682.0046997,-0.0009648881387,
680.9916992,0.002606967231,680.9916992,-0.001115390682,680.9916992,-0.00117616565,680.9916992,-0.0006021042354,680.9916992,-0.00123584806,
680.0145264,0.00264725578,680.0145264,-0.001088744029,680.0145264,-0.001306361868,680.0145264,-0.0007418274181,680.0145264,-0.001346466015,
679.0009766,0.002393710893,679.0009766,-0.001023618272,679.0009766,-0.001369484235,679.0009766,-0.0004328564683,679.0009766,-0.001160211163,
677.9869385,0.002646656707,677.9869385,-0.0008001742535,677.9869385,-0.001301768003,677.9869385,-0.0006242830423,677.9869385,-0.001202290645,
677.0089111,0.002673482988,677.0089111,-0.001046550227,677.0089111,-0.001123549533,677.0089111,-0.0008817123598,677.0089111,-0.0009679358918,
675.9943848,0.002798885806,675.9943848,-0.0009949514642,675.9943848,-0.001373148407,675.9943848,-0.0005417658831,675.9943848,-0.001173842233,
675.015686,0.002652959432,675.015686,-0.0006680687075,675.015686,-0.0009916973067,675.015686,0.0002897865197,675.015686,-0.0007523707463,
674.0004883,0.0024015198,674.0004883,-0.001242249506,674.0004883,-0.001523096813,674.0004883,-0.0008919422398,674.0004883,-0.001261401572,
672.9849854,0.002664888045,672.9849854,-0.0009485642076,672.9849854,-0.001390643301,672.9849854,-0.0006551970728,672.9849854,-0.0009970692918,
672.0054321,0.002838097746,672.0054321,-0.0007612082991,672.0054321,-0.001568494248,672.0054321,-0.000905375171,672.0054321,-0.0006070674281,
670.9892578,0.002899463288,670.9892578,-0.0008368631243,670.9892578,-0.0005665847566,670.9892578,-0.0005247021327,670.9892578,-0.0006438242854,
670.0090942,0.002813553903,670.0090942,-0.001091636019,670.0090942,-0.001129849348,670.0090942,-0.0007576940116,670.0090942,-0.001246121246,
668.9923096,0.002615430858,668.9923096,-0.0007031663554,668.9923096,-0.001084974152,668.9923096,-0.001120347995,668.9923096,-0.0009625119274,
668.0115356,0.002985285129,668.0115356,-0.0007594511844,668.0115356,-0.0009539883467,668.0115356,-0.001087452983,668.0115356,-0.001017058617,
666.9941406,0.003044090699,666.9941406,-0.001171518816,666.9941406,-0.0008671936812,666.9941406,-0.000818312401,666.9941406,-0.001221134793,
666.0127563,0.00301943114,666.0127563,-0.0004062196531,666.0127563,-0.000265508861,666.0127563,-0.0006567478995,666.0127563,-0.0004213226784,
664.994812,0.003321230412,664.994812,-0.0004946062109,664.994812,-0.000948822475,664.994812,-0.0009931952227,664.994812,-0.0008750472334,
664.0127563,0.002862330293,664.0127563,-0.0007658596151,664.0127563,-0.0009419518174,664.0127563,-0.0005504009314,664.0127563,-0.0007782627945,
662.9942017,0.003019222524,662.9942017,-0.0004668354231,662.9942017,-0.001368710073,662.9942017,-0.001063851756,662.9942017,-0.0009999618633,
