sample8,,sample9,,sample10,,sample12,,sample13,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
650.0159302,0.001254925155,650.0159302,0.00226527662,650.0159302,0.001839905977,650.0159302,0.0002470482723,650.0159302,0.006002334878,
648.993042,0.00125739153,648.993042,0.002431142377,648.993042,0.0023020464,648.993042,0.001182396547,648.993042,0.006588756572,
648.0064087,0.0008700181497,648.0064087,0.002676712815,648.0064087,0.001847678795,648.0064087,0.001095943968,648.0064087,0.006042362191,
646.9829712,0.001967408461,646.9829712,0.002456002869,646.9829712,0.002447776729,646.9829712,0.001205031294,646.9829712,0.005962521303,
645.9956665,0.001482999418,645.9956665,0.002706718864,645.9956665,0.002135501709,645.9956665,0.0008193384856,645.9956665,0.003945938312,
645.0082397,0.001906850492,645.0082397,0.002878225408,645.0082397,0.002315682825,645.0082397,0.001414717874,645.0082397,0.004032960162,
643.9838867,0.002004178939,643.9838867,0.003226214321,643.9838867,0.00226171175,643.9838867,0.001822567079,643.9838867,0.003141231136,
642.9957275,0.001806034707,642.9957275,0.002494559158,642.9957275,0.001839334029,642.9957275,0.001367454184,642.9957275,0.002451108769,
642.0074463,0.001179567305,642.0074463,0.002680958249,642.0074463,0.001709166449,642.0074463,0.0009807869792,642.0074463,0.002282633213,
640.9821167,0.001236285665,640.9821167,0.002214616165,640.9821167,0.001229172805,640.9821167,0.001020328258,640.9821167,0.001863458892,
639.9931641,0.001665664604,639.9931641,0.002612279728,639.9931641,0.001539315796,639.9931641,0.001538666431,639.9931641,0.002153659472,
639.0039673,0.001715013757,639.0039673,0.003066926962,639.0039673,0.001240309444,639.0039673,0.001558851684,639.0039673,0.00238085282,
638.0145264,0.001726448885,638.0145264,0.00283353799,638.0145264,0.001121922047,638.0145264,0.001585844671,638.0145264,0.002391472459,
636.9879761,0.001695834799,636.9879761,0.002804382937,636.9879761,0.001004656544,636.9879761,0.001675773063,636.9879761,0.002136308001,
635.9979858,0.001412328565,635.9979858,0.00247266423,635.9979858,0.0007735918043,635.9979858,0.001720809261,635.9979858,0.002083139494,
635.0075684,0.001403524657,635.0075684,0.002503879834,635.0075684,0.001095866086,635.0075684,0.001893720822,635.0075684,0.002058612416,
634.0169678,0.001682217699,634.0169678,0.002664575586,634.0169678,0.0009933443507,634.0169678,0.001801251899,634.0169678,0.002218466718,
632.9894409,0.00158761139,632.9894409,0.003238419304,632.9894409,0.001116497908,632.9894409,0.001949154423,632.9894409,0.002358156722,
631.9981689,0.001487285248,631.9981689,0.002598816063,631.9981689,0.0008023255505,631.9981689,0.001749137882,631.9981689,0.002016323851,
631.0067139,0.001582675031,631.0067139,0.002818035427,631.0067139,0.0009765580762,631.0067139,0.002259890316,631.0067139,0.002055231249,
630.0149536,0.001721329056,630.0149536,0.002921327716,630.0149536,0.001135028433,630.0149536,0.002349203685,630.0149536,0.001801563776,
628.9862061,0.002060953062,628.9862061,0.003157266881,628.9862061,0.001389864832,628.9862061,0.0022615036,628.9862061,0.002228197875,
627.9938965,0.0018681644,627.9938965,0.003207515925,627.9938965,0.0007755107945,627.9938965,0.002099890495,627.9938965,0.0018441953,
627.0013428,0.001963793999,627.0013428,0.003434426617,627.0013428,0.001284106169,627.0013428,0.002580535598,627.0013428,0.00226670783,
626.0084229,0.00222299411,626.0084229,0.003455665661,626.0084229,0.001288779546,626.0084229,0.002541607013,626.0084229,0.002182900906,
625.0153198,0.002399697667,625.0153198,0.003169600386,625.0153198,0.001561475568,625.0153198,0.003050555708,625.0153198,0.001922216732,
623.9851074,0.001865876606,623.9851074,0.003272819798,623.9851074,0.001195219229,623.9851074,0.00282910862,623.9851074,0.001976951724,
622.991394,0.00226314296,622.991394,0.003309857566,622.991394,0.001552824513,622.991394,0.00339443027,622.991394,0.001847106963,
621.9974365,0.002423593309,621.9974365,0.003542641411,621.9974365,0.001688090619,621.9974365,0.00381098548,621.9974365,0.001707581221,
621.0032349,0.002629728289,621.0032349,0.003528157249,621.0032349,0.002232126659,621.0032349,0.004138423596,621.0032349,0.002217009664,
620.008667,0.002541945549,620.008667,0.003375202883,620.008667,0.001993984915,620.008667,0.004254917614,620.008667,0.001940599643,
619.013916,0.002352821175,619.013916,0.003349089762,619.013916,0.001863458892,619.013916,0.004483422264,619.013916,0.00165703753,
617.9819946,0.00266004377,617.9819946,0.004008296411,617.9819946,0.002201685216,617.9819946,0.00552292401,617.9819946,0.001965068048,
616.9866333,0.003046593396,616.9866333,0.003844308434,616.9866333,0.002688381588,616.9866333,0.005962285213,616.9866333,0.00276822201,
615.9910278,0.00275814021,615.9910278,0.003611258464,615.9910278,0.00324566965,615.9910278,0.006504873279,615.9910278,0.002407012042,
614.9951782,0.002918304643,614.9951782,0.004056605976,614.9951782,0.003924649209,614.9951782,0.00772806257,614.9951782,0.003088930156,
613.9989624,0.002464750083,613.9989624,0.003825061256,613.9989624,0.004134320188,613.9989624,0.008185382932,613.9989624,0.003103634343,
613.0025635,0.002891332842,613.0025635,0.003866768908,613.0025635,0.004381640349,613.0025635,0.008466324769,613.0025635,0.003530010115,
612.0058594,0.002670644084,612.0058594,0.003660333343,612.0058594,0.003984574694,612.0058594,0.008601465262,612.0058594,0.003684115596,
611.0089722,0.002966076136,611.0089722,0.003678476671,611.0089722,0.003679703688,611.0089722,0.008937239647,611.0089722,0.00382545311,
610.0116577,0.00296704052,610.0116577,0.003834723961,610.0116577,0.003255971475,610.0116577,0.009271739982,610.0116577,0.004272066057,
609.0142212,0.002965867519,609.0142212,0.004012685735,609.0142212,0.00299868267,609.0142212,0.008919297718,609.0142212,0.00472426787,
608.0164185,0.002879919251,608.0164185,0.00413303962,608.0164185,0.002528510289,608.0164185,0.00830291491,608.0164185,0.004932100419,
607.0183716,0.003287113039,607.0183716,0.003918353934,607.0183716,0.002503072843,607.0183716,0.008175622672,607.0183716,0.005037913099,
605.9831543,0.00287723518,605.9831543,0.003890197026,605.9831543,0.002309072763,605.9831543,0.008067090996,605.9831543,0.004933540244,
604.9846191,0.002891541226,604.9846191,0.003608100116,604.9846191,0.00187364989,604.9846191,0.007559213322,604.9846191,0.004907018971,
603.9857178,0.002959091216,603.9857178,0.004280405585,603.9857178,0.002293901052,603.9857178,0.007791914977,603.9857178,0.005222446751,
602.9866943,0.003045185702,602.9866943,0.003997976892,602.9866943,0.00206001685,602.9866943,0.007658001501,602.9866943,0.00514236372,
601.9872437,0.0029875529,601.9872437,0.003962944262,601.9872437,0.002165444195,601.9872437,0.007826361805,601.9872437,0.005152108148,
600.9876709,0.003139275592,600.9876709,0.004076281562,600.9876709,0.002365132095,600.9876709,0.007328426931,600.9876709,0.005233188625,
599.9877319,0.002753346926,599.9877319,0.003899652045,599.9877319,0.00199705339,599.9877319,0.007158785593,599.9877319,0.004991615191,
598.9876099,0.003208115697,598.9876099,0.003875335446,598.9876099,0.002297102008,598.9876099,0.00615556119,598.9876099,0.004763497505,
597.9871826,0.003090494312,597.9871826,0.003946486861,597.9871826,0.002498464426,597.9871826,0.005807264242,597.9871826,0.004486011341,
596.9864502,0.00310209603,596.9864502,0.004154809751,596.9864502,0.002338767052,596.9864502,0.005248279776,596.9864502,0.004478897434,
595.9855347,0.003245852189,595.9855347,0.004053574987,595.9855347,0.002234416548,595.9855347,0.004471652675,595.9855347,0.00405124994,
594.984314,0.003108509583,594.984314,0.004162310157,594.984314,0.002239048015,594.984314,0.003992568702,594.984314,0.003938075621,
593.9829102,0.002922213636,593.9829102,0.003808844136,593.9829102,0.001901650568,593.9829102,0.003436435713,593.9829102,0.003385064192,
593.0183105,0.003331742715,593.0183105,0.003755783895,593.0183105,0.001958931331,593.0183105,0.003175389254,593.0183105,0.003117843531,
592.0162354,0.002960498678,592.0162354,0.003811272793,592.0162354,0.001903418568,592.0162354,0.002853496931,592.0162354,0.003073183587,
591.0140381,0.002781560645,591.0140381,0.003851751564,591.0140381,0.001599432784,591.0140381,0.002810766222,591.0140381,0.002509139013,
590.0115356,0.002469045576,590.0115356,0.003730822587,590.0115356,0.001768033369,590.0115356,0.002443611622,590.0115356,0.002610144205,
589.008728,0.002931699855,589.008728,0.003737976542,589.008728,0.002412426285,589.008728,0.002534498926,589.008728,0.002624988556,
588.0057373,0.002603112953,588.0057373,0.003616113449,588.0057373,0.002743890509,588.0057373,0.002263533184,588.0057373,0.00214419025,
587.0024414,0.002607149538,587.0024414,0.003771659452,587.0024414,0.003418563167,587.0024414,0.001962441718,587.0024414,0.00250270823,
585.9989624,0.002773588756,585.9989624,0.003845405299,585.9989624,0.003819342237,585.9989624,0.001923204749,585.9989624,0.002138284966,
584.9951172,0.002321017906,584.9951172,0.003683906747,584.9951172,0.004665051587,584.9951172,0.001662832219,584.9951172,0.002301083412,
583.9910889,0.002529681893,583.9910889,0.003622795688,583.9910889,0.005091575906,583.9910889,0.001631417195,583.9910889,0.002125382423,
582.9868164,0.002877808409,582.9868164,0.003722989932,582.9868164,0.006492208224,582.9868164,0.001794909476,582.9868164,0.002596837003,
581.9821777,0.0026137901,581.9821777,0.003774061799,581.9821777,0.00721971225,581.9821777,0.001334970002,581.9821777,0.002238813788,
581.0145874,0.002600456821,581.0145874,0.003972087521,581.0145874,0.007905517705,581.0145874,0.001573945745,581.0145874,0.002312638098,
580.0095825,0.002919894177,580.0095825,0.004262367729,580.0095825,0.008516585454,580.0095825,0.001654075342,580.0095825,0.002462927718,
579.0042114,0.003082595067,579.0042114,0.004180030432,579.0042114,0.009121296927,579.0042114,0.001565112616,579.0042114,0.002381451428,
577.9987183,0.002609571442,577.9987183,0.003957144916,577.9987183,0.008511226624,577.9987183,0.001127450028,577.9987183,0.002214381937,
576.9928589,0.002989220899,576.9928589,0.004046389833,576.9928589,0.008648043498,576.9928589,0.001213986776,576.9928589,0.002337465761,
575.9867554,0.003230804112,575.9867554,0.004588053096,575.9867554,0.008636504412,575.9867554,0.001596237067,575.9867554,0.002388088731,
