Final normalised emission correction curve,
Wavelength (nm),Intensity (a.u.)
672,3.895634623
673,3.934118165
674,3.973152928
675,4.012703391
676,4.052798162
677,4.093487072
678,4.13481208
679,4.17695677
680,4.220006018
681,4.264182508
682,4.309698906
683,4.356696835
684,4.405320297
685,4.455689458
686,4.50774948
687,4.561205201
688,4.615771474
689,4.671163628
690,4.726891473
691,4.782302222
692,4.836666317
693,4.889191731
694,4.939254762
695,4.986102488
696,5.029210864
697,5.068135002
698,5.102702288
699,5.13305768
700,5.15951446
701,5.182620034
702,5.202798788
703,5.220706371
704,5.237065667
705,5.252522789
706,5.267520241
707,5.282599232
708,5.298236121
709,5.314881996
710,5.332766213
711,5.351951718
712,5.372535306
713,5.394496473
714,5.417847142
715,5.442446167
716,5.468151453
717,5.49495966
718,5.522921334
719,5.552178573
720,5.582711825
721,5.614652697
722,5.647813316
723,5.682416842
724,5.718482347
725,5.75593783
726,5.794696983
727,5.834776019
728,5.876133452
729,5.918799801
730,5.962730243
731,6.007902842
732,6.05438245
733,6.102067499
734,6.150881697
735,6.200707264
736,6.251486027
737,6.303368666
738,6.356301298
739,6.410252929
740,6.465280779
741,6.521538867
742,6.578960911
743,6.637825862
744,6.697968257
745,6.759369977
746,6.821955681
747,6.885891785
748,6.951101518
749,7.017668327
750,7.085551205
751,7.154834073
752,7.225241797
753,7.296689502
754,7.368995035
755,7.442107851
756,7.515823388
757,7.590298525
758,7.665372092
759,7.741085097
760,7.817512879
761,7.894787998
762,7.972980074
763,8.052222142
764,8.132308688
765,8.213429014
766,8.295905463
767,8.379759969
768,8.464869507
769,8.551409554
770,8.639256131
771,8.72852082
772,8.818816429
773,8.910191595
774,9.002500406
775,9.095647495
776,9.189464062
777,9.284328715
778,9.379961074
779,9.47641073
780,9.573651935
781,9.671824877
782,9.77083896
783,9.870646496
784,9.971032912
785,10.07252845
786,10.1751045
787,10.27836815
788,10.38243573
789,10.48753615
790,10.59349774
791,10.70057798
792,10.80868437
793,10.91789321
794,11.02856976
795,11.14078553
796,11.25447758
797,11.3698519
798,11.48666915
799,11.60505232
800,11.72496803
801,11.84658606
802,11.96983486
803,12.0947955
804,12.22151473
805,12.35049129
806,12.48153636
807,12.61469287
808,12.75047388
809,12.88920937
810,13.03115302
811,13.17702674
812,13.32755535
813,13.48322996
814,13.64529991
815,13.81410183
816,13.98997332
817,14.17453754
818,14.36882825
819,14.57432845
820,14.7925058
821,15.02538878
822,15.27445081
823,15.54190251
824,15.82920203
825,16.1395814
826,16.47490786
827,16.83810254
828,17.23213136
829,17.66077276
830,18.12773464
831,18.63770712
832,19.19613953
833,19.8066596
834,20.47706649
835,21.21215144
836,22.02079696
