sample2,,sample3,,sample4,,sample5,,sample7,,sample8,,sample9,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
736.0164185,87.37207794,736.0164185,87.73121643,736.0164185,87.28662872,736.0164185,87.50041199,736.0164185,87.71711731,736.0164185,87.50006866,736.0164185,87.6401062,
734.9858398,87.44668579,734.9858398,87.68460846,734.9858398,87.32694244,734.9858398,87.45333862,734.9858398,87.44661713,734.9858398,87.55901337,734.9858398,87.41845703,
733.9904785,87.53260803,733.9904785,87.75601959,733.9904785,87.42745972,733.9904785,87.49192047,733.9904785,87.51053619,733.9904785,87.49832153,733.9904785,87.73236084,
732.9946899,87.49639893,732.9946899,87.71800995,732.9946899,87.38660431,732.9946899,87.44363403,732.9946899,87.64931488,732.9946899,87.5134201,732.9946899,87.42991638,
731.9986572,87.46652222,731.9986572,87.76137543,731.9986572,87.35364532,731.9986572,87.52255249,731.9986572,87.49826813,731.9986572,87.59676361,731.9986572,87.61629486,
731.0022583,87.40105438,731.0022583,87.71147156,731.0022583,87.29431915,731.0022583,87.55238342,731.0022583,87.48106384,731.0022583,87.4673996,731.0022583,87.51712036,
730.0054932,87.4149704,730.0054932,87.75550079,730.0054932,87.40206146,730.0054932,87.46799469,730.0054932,87.64458466,730.0054932,87.49923706,730.0054932,87.53311157,
729.0083618,87.45133209,729.0083618,87.70619965,729.0083618,87.31794739,729.0083618,87.5916748,729.0083618,87.42953491,729.0083618,87.48575592,729.0083618,87.61717987,
728.0109253,87.39925385,728.0109253,87.67233276,728.0109253,87.17980957,728.0109253,87.35645294,728.0109253,87.53289795,728.0109253,87.40594482,728.0109253,87.35196686,
727.0131836,87.40276337,727.0131836,87.7736969,727.0131836,87.24966431,727.0131836,87.54734039,727.0131836,87.62481689,727.0131836,87.48445129,727.0131836,87.68813324,
726.0149536,87.49925232,726.0149536,87.78285217,726.0149536,87.30905914,726.0149536,87.50073242,726.0149536,87.45272827,726.0149536,87.59191132,726.0149536,87.48669434,
725.0165405,87.47610474,725.0165405,87.73667145,725.0165405,87.3919754,725.0165405,87.5007782,725.0165405,87.61769867,725.0165405,87.49716187,725.0165405,87.644104,
724.0176392,87.40313721,724.0176392,87.69875336,724.0176392,87.2791214,724.0176392,87.51207733,724.0176392,87.55012512,724.0176392,87.41023254,724.0176392,87.50604248,
722.9828491,87.51119232,722.9828491,87.736763,722.9828491,87.27475739,722.9828491,87.45297241,722.9828491,87.45792389,722.9828491,87.46292114,722.9828491,87.54135132,
721.9833374,87.48809052,721.9833374,87.79331207,721.9833374,87.36276245,721.9833374,87.57461548,721.9833374,87.71905518,721.9833374,87.53035736,721.9833374,87.63039398,
720.9834595,87.46147156,720.9834595,87.79536438,720.9834595,87.27662659,720.9834595,87.47927094,720.9834595,87.4439621,720.9834595,87.46129608,720.9834595,87.36598969,
719.9832764,87.45862579,719.9832764,87.8218689,719.9832764,87.44287109,719.9832764,87.64614105,719.9832764,87.56427002,719.9832764,87.53199005,719.9832764,87.66026306,
718.9827271,87.49813843,718.9827271,87.80576324,718.9827271,87.39468384,718.9827271,87.4548111,718.9827271,87.72360992,718.9827271,87.56903076,718.9827271,87.46974945,
718.0175781,87.430336,718.0175781,87.71035004,718.0175781,87.30025482,718.0175781,87.58781433,718.0175781,87.44773102,718.0175781,87.49674988,718.0175781,87.59902954,
717.0163574,87.44869232,717.0163574,87.78225708,717.0163574,87.34191895,717.0163574,87.43595123,717.0163574,87.5573349,717.0163574,87.52641296,717.0163574,87.35166168,
716.0148926,87.44540405,716.0148926,87.74472046,716.0148926,87.29972839,716.0148926,87.54219055,716.0148926,87.62479401,716.0148926,87.49415588,716.0148926,87.64551544,
715.0129395,87.43104553,715.0129395,87.77405548,715.0129395,87.31838989,715.0129395,87.37551117,715.0129395,87.441185,715.0129395,87.48941803,715.0129395,87.47486877,
714.0107422,87.48204041,714.0107422,87.74799347,714.0107422,87.3553009,714.0107422,87.55198669,714.0107422,87.7312088,714.0107422,87.49697113,714.0107422,87.53726196,
713.0081787,87.45809937,713.0081787,87.79214478,713.0081787,87.32292175,713.0081787,87.47987366,713.0081787,87.5480423,713.0081787,87.44070435,713.0081787,87.49072266,
712.005249,87.5046463,712.005249,87.84984589,712.005249,87.38742828,712.005249,87.57933807,712.005249,87.47974396,712.005249,87.4981842,712.005249,87.51352692,
711.0020752,87.45549011,711.0020752,87.80944824,711.0020752,87.31442261,711.0020752,87.45462036,711.0020752,87.67121124,711.0020752,87.51135254,711.0020752,87.49738312,
709.9985352,87.44052124,709.9985352,87.74184418,709.9985352,87.2905426,709.9985352,87.45748901,709.9985352,87.44026184,709.9985352,87.47968292,709.9985352,87.42919922,
708.9945679,87.45521545,708.9945679,87.68099213,708.9945679,87.3290863,708.9945679,87.49137878,708.9945679,87.51526642,708.9945679,87.48727417,708.9945679,87.57775116,
707.9903564,87.44619751,707.9903564,87.75432587,707.9903564,87.25202942,707.9903564,87.4327774,707.9903564,87.58647156,707.9903564,87.45106506,707.9903564,87.46238708,
706.9857788,87.45111084,706.9857788,87.8092804,706.9857788,87.32720184,706.9857788,87.48897552,706.9857788,87.46601105,706.9857788,87.59013367,706.9857788,87.71598816,
706.0167847,87.50956726,706.0167847,87.77772522,706.0167847,87.35198212,706.0167847,87.53939056,706.0167847,87.65176392,706.0167847,87.51252747,706.0167847,87.41639709,
705.0115967,87.39360809,705.0115967,87.68235779,705.0115967,87.31435394,705.0115967,87.45066071,705.0115967,87.53515625,705.0115967,87.44377136,705.0115967,87.6579895,
704.0060425,87.47307587,704.0060425,87.70412445,704.0060425,87.34257507,704.0060425,87.47221375,704.0060425,87.3747406,704.0060425,87.50287628,704.0060425,87.39575195,
703.0001221,87.39770508,703.0001221,87.70684052,703.0001221,87.24416351,703.0001221,87.5266571,703.0001221,87.64565277,703.0001221,87.44248199,703.0001221,87.55024719,
701.9938965,87.40882111,701.9938965,87.77337646,701.9938965,87.34016418,701.9938965,87.44997406,701.9938965,87.45471954,701.9938965,87.46430969,701.9938965,87.44499969,
700.9873047,87.42472839,700.9873047,87.69844818,700.9873047,87.25483704,700.9873047,87.53142548,700.9873047,87.58974457,700.9873047,87.52240753,700.9873047,87.58277893,
700.0164185,87.43421173,700.0164185,87.779953,700.0164185,87.31651306,700.0164185,87.50619507,700.0164185,87.66049194,700.0164185,87.58283997,700.0164185,87.4812088,
699.0092163,87.44972229,699.0092163,87.77816772,699.0092163,87.34980774,699.0092163,87.52420807,699.0092163,87.44960022,699.0092163,87.49542999,699.0092163,87.49842072,
698.0016479,87.45298767,698.0016479,87.83085632,698.0016479,87.39303589,698.0016479,87.39474487,698.0016479,87.68199158,698.0016479,87.57897949,698.0016479,87.54438019,
696.9938354,87.42925262,696.9938354,87.78574371,696.9938354,87.40167999,696.9938354,87.50708008,696.9938354,87.52252197,696.9938354,87.56365967,696.9938354,87.58267212,
695.9855957,87.43062592,695.9855957,87.85417938,695.9855957,87.37189484,695.9855957,87.4334259,695.9855957,87.56031799,695.9855957,87.45866394,695.9855957,87.56958771,
695.0131226,87.38286591,695.0131226,87.74903107,695.0131226,87.23717499,695.0131226,87.50282288,695.0131226,87.63511658,695.0131226,87.46083832,695.0131226,87.36885071,
694.0043335,87.46846771,694.0043335,87.89221954,694.0043335,87.37997437,694.0043335,87.44224548,694.0043335,87.49813843,694.0043335,87.52394104,694.0043335,87.55715179,
692.9950562,87.33931732,692.9950562,87.77332306,692.9950562,87.20383453,692.9950562,87.48101807,692.9950562,87.57989502,692.9950562,87.35462952,692.9950562,87.38433838,
691.9855957,87.45082855,691.9855957,87.71712494,691.9855957,87.27311707,691.9855957,87.48074341,691.9855957,87.57937622,691.9855957,87.54789734,691.9855957,87.68880463,
691.0118408,87.38944244,691.0118408,87.73619843,691.0118408,87.26309204,691.0118408,87.46715546,691.0118408,87.46882629,691.0118408,87.48791504,691.0118408,87.48044586,
690.00177,87.52342224,690.00177,87.92617798,690.00177,87.37953949,690.00177,87.56824493,690.00177,87.66325378,690.00177,87.59892273,690.00177,87.63038635,
688.991272,87.41201782,688.991272,87.71875763,688.991272,87.29349518,688.991272,87.54187012,688.991272,87.44325256,688.991272,87.45674133,688.991272,87.42288208,
688.0166016,87.44761658,688.0166016,87.7705307,688.0166016,87.30787659,688.0166016,87.37783813,688.0166016,87.61504364,688.0166016,87.47728729,688.0166016,87.65055084,
687.0054932,87.55388641,687.0054932,87.84698486,687.0054932,87.21946716,687.0054932,87.56486511,687.0054932,87.5636673,687.0054932,87.50714874,687.0054932,87.49263763,
685.9940796,87.49822998,685.9940796,87.79813385,685.9940796,87.4216156,685.9940796,87.51460266,685.9940796,87.57862091,685.9940796,87.52508545,685.9940796,87.6875,
684.9822998,87.44519043,684.9822998,87.78643036,684.9822998,87.29566193,684.9822998,87.46741486,684.9822998,87.71508026,684.9822998,87.42663574,684.9822998,87.44074249,
684.0063477,87.39007568,684.0063477,87.68450928,684.0063477,87.17805481,684.0063477,87.38881683,684.0063477,87.29795074,684.0063477,87.46224976,684.0063477,87.46995544,
682.9940186,87.40215302,682.9940186,87.79927063,682.9940186,87.36930084,682.9940186,87.4673233,682.9940186,87.67434692,682.9940186,87.50867462,682.9940186,87.43334961,
682.0174561,87.43306732,682.0174561,87.75447845,682.0174561,87.23320007,682.0174561,87.41160583,682.0174561,87.40366364,682.0174561,87.42079926,682.0174561,87.49990845,
681.0044556,87.37360382,681.0044556,87.63712311,681.0044556,87.28094482,681.0044556,87.45998383,681.0044556,87.4510498,681.0044556,87.43301392,681.0044556,87.42486572,
679.9911499,87.371315,679.9911499,87.73806,679.9911499,87.32843781,679.9911499,87.45729065,679.9911499,87.61273956,679.9911499,87.51420593,679.9911499,87.56562805,
679.0137329,87.36169434,679.0137329,87.64588928,679.0137329,87.24424744,679.0137329,87.44597626,679.0137329,87.34594727,679.0137329,87.44827271,679.0137329,87.41818237,
677.9997559,87.3711319,677.9997559,87.7507782,677.9997559,87.27461243,677.9997559,87.48845673,677.9997559,87.57855225,677.9997559,87.43061066,677.9997559,87.54955292,
676.9854126,87.41801453,676.9854126,87.8295517,676.9854126,87.30102539,676.9854126,87.51419067,676.9854126,87.43306732,676.9854126,87.58123779,676.9854126,87.44085693,
676.0070801,87.48851776,676.0070801,87.68860626,676.0070801,87.29056549,676.0070801,87.54985046,676.0070801,87.55651855,676.0070801,87.52377319,676.0070801,87.55776215,
