Wavelength,exCorr
361.0700073,1.793994212
362,1.790716304
363.0700073,1.787543123
364,1.784486558
365.0700073,1.781788683
366,1.781068751
367.0700073,1.780014101
368,1.780329487
369.0700073,1.779189159
370,1.779947232
371.0700073,1.780537738
372,1.782319511
373.0700073,1.784131961
374,1.78971755
375.0700073,1.797732936
376,1.807603534
377.0700073,1.820104939
378,1.833933381
379.0700073,1.848405983
380,1.864606998
381.0700073,1.88121494
382,1.89769586
383.0700073,1.91226711
384,1.92610569
385.0700073,1.940076559
386,1.951682028
387.0700073,1.962613598
388,1.972232367
389.0700073,1.980012092
390,1.987377939
391.0700073,1.993122635
392,1.996782697
393.0700073,1.999057537
394,2
395.0700073,1.99927906
396,1.996918835
397.0700073,1.994387075
398,1.990500848
399.0700073,1.986137384
400,1.981327837
401.0599976,1.976291941
401.9599915,1.969975462
403.0299988,1.962819559
403.9299927,1.955898287
405,1.94948254
406.0599976,1.942484326
406.9599915,1.937255273
408.0299988,1.93171905
408.9299927,1.925545792
410,1.918953493
411.0700073,1.911101205
412,1.902970946
413.0700073,1.893299698
414,1.882420916
415.0700073,1.871547172
416,1.859824137
417.0700073,1.848906934
418,1.838900813
419.0700073,1.831138708
420,1.825290865
421.0599976,1.821905361
421.9599915,1.820130898
423.0299988,1.820895563
423.9299927,1.823245283
425,1.827782217
426.0599976,1.83334183
426.9599915,1.839809006
428.0299988,1.847254875
428.9299927,1.853797527
430,1.859956473
431.0599976,1.864395714
431.9599915,1.867567847
433.0299988,1.869171685
433.9299927,1.86984725
435,1.86986912
436.0599976,1.869453884
436.9599915,1.868284611
438.0299988,1.867122043
438.9299927,1.865963946
440,1.865302067
441.0700073,1.865307135
442,1.865495638
443.0700073,1.86553484
444,1.866179733
445.0700073,1.867032422
446,1.868201512
447.0700073,1.870914819
448,1.874209007
449.0700073,1.876579899
450,1.878633075
451.0599976,1.879223683
451.9599915,1.879619793
453.0299988,1.880675955
453.9299927,1.882453692
455,1.885195153
456.0599976,1.887757207
456.9599915,1.889835112
458.0299988,1.892993236
458.9299927,1.896269411
460,1.900399554
461.0599976,1.904589748
461.9599915,1.90806289
463.0299988,1.912176054
463.9299927,1.916178
465,1.919551176
466.0599976,1.922459616
466.9599915,1.925107346
468.0299988,1.926232348
468.9299927,1.926036712
470,1.924569332
471.0400085,1.92191731
471.9400024,1.918736733
472.980011,1.913965491
474.019989,1.907765605
475.0700073,1.899698379
475.9700012,1.888142949
477.0100098,1.876831527
478.0499878,1.865787644
478.9500122,1.853327431
480,1.840774519
481.0599976,1.82813557
481.9599915,1.816672594
483.0299988,1.805198006
483.9299927,1.792975368
485,1.783207503
486.0599976,1.775317769
486.9599915,1.77002968
488.0299988,1.765543414
488.9299927,1.761341479
490,1.758404431
491.0599976,1.755931137
491.9599915,1.753256003
493.0299988,1.748706908
493.9299927,1.744074587
495,1.738296869
496.0599976,1.731801768
496.9599915,1.727097331
498.0299988,1.722022665
498.9299927,1.71609263
500,1.709752768
501.0400085,1.702846007
501.9400024,1.694869726
502.980011,1.686179096
504.019989,1.677963371
505.0700073,1.672418548
505.9700012,1.666932022
507.0100098,1.662227959
508.0499878,1.655894082
508.9500122,1.648544536
510,1.641536427
511.0400085,1.634988853
511.9400024,1.628668782
512.9799805,1.622578573
514.0200195,1.617464138
515.0700073,1.61221608
515.9699707,1.606422526
517.0100098,1.599142655
518.0499878,1.590645637
518.9500122,1.582120548
520,1.570811557
521.039978,1.558504179
521.9400024,1.5483304
522.9799805,1.540077974
524.0200195,1.533141072
525.0700073,1.526371808
525.9699707,1.520795573
527.0100098,1.517720589
528.0499878,1.513931442
528.9500122,1.510800123
530,1.509770415
531.039978,1.509539526
531.9400024,1.510793832
532.9799805,1.510702009
534.0200195,1.511558953
535.0700073,1.511327665
535.9699707,1.511666968
537.0100098,1.512125333
538.0499878,1.512305994
538.9500122,1.512559674
540,1.512283506
541.039978,1.514527464
541.9400024,1.518676464
542.9799805,1.521138455
544.0200195,1.522918612
545.0700073,1.521801392
545.9699707,1.521408595
547.0100098,1.521333537
548.0499878,1.518104618
548.9500122,1.515156783
550,1.510549035
551.039978,1.502426098
551.9400024,1.49328788
552.9799805,1.480857542
554.0200195,1.470019519
555.0700073,1.458877609
555.9699707,1.448995481
557.0100098,1.438707953
558.0499878,1.426973553
558.9500122,1.416432648
560,1.408743516
561.0200195,1.400417422
562.0499878,1.392758491
562.9400024,1.383816192
563.9699707,1.374711222
565,1.36622288
566.0200195,1.359299269
567.0499878,1.353485573
567.9400024,1.347917324
568.9699707,1.344780719
570,1.342094965
571.0200195,1.339668744
572.0499878,1.338123882
572.9400024,1.336335845
573.9699707,1.334072403
575,1.33234844
576.0200195,1.329320246
577.0499878,1.326316014
577.9400024,1.321680097
578.9699707,1.318403642
580,1.314087943
581.0200195,1.306034241
582.0499878,1.298672056
582.9400024,1.289529179
583.9699707,1.280043102
585,1.271688307
586.0200195,1.262385803
587.0499878,1.252578207
587.9400024,1.243478377
588.9699707,1.233805792
590,1.226733608
591.0200195,1.220962965
592.0499878,1.216615075
592.9400024,1.21169608
593.9699707,1.206872538
595,1.201624803
596.0200195,1.194719937
597.0499878,1.188452257
597.9400024,1.181557281
598.9699707,1.176217548
600,1.170708525
601,1.18534778
602,1.181721141
603,1.178152572
604,1.17464154
605,1.171187509
606,1.167789944
607,1.164448309
608,1.16116207
609,1.157930692
610,1.154753639
611,1.151630377
612,1.14856037
613,1.145543083
614,1.142577982
615,1.13966453
616,1.136802193
617,1.133990436
618,1.131228724
619,1.128516521
620,1.125853293
621,1.123238504
622,1.12067162
623,1.118152105
624,1.115679423
625,1.113253041
626,1.110872423
627,1.108537033
628,1.106246337
629,1.1039998
630,1.101796886
631,1.09963706
632,1.097519788
633,1.095444534
634,1.093410763
635,1.09141794
636,1.08946553
637,1.087552997
638,1.085679807
639,1.083845425
640,1.082049316
641,1.080290943
642,1.078569773
643,1.07688527
644,1.075236899
645,1.073624125
646,1.072046413
647,1.070503228
648,1.068994034
649,1.067518297
650,1.066075481
651,1.064665052
652,1.063286473
653,1.061939211
654,1.060622731
655,1.059336495
656,1.058079971
657,1.056852623
658,1.055653915
659,1.054483313
660,1.053340281
661,1.052224284
662,1.051134788
663,1.050071257
664,1.049033155
665,1.048019949
666,1.047031103
667,1.046066081
668,1.045124349
669,1.044205371
670,1.043308613
671,1.042433539
672,1.041579614
673,1.040746304
674,1.039933072
